ngay,YM3601,YM1605,YM2605,YM1601,YM2601
2022-02-28,102520,0,30500,17000,6800
2022-03-01,16000,91500,102500,,
2022-03-02,59200,111500,114000,,
2022-03-03,43800,117500,118000,,
2022-03-04,48200,63000,91000,,
2022-03-05,54000,0,0,,
2022-03-06,45200,0,0,,
2022-03-07,79600,0,62500,,
2022-03-08,90600,0,112000,,
2022-03-09,67800,65000,118000,,
2022-03-10,45000,108500,118500,,
2022-03-11,93400,0,121500,,
2022-03-12,62920,0,78500,33200,0
2022-03-13,0,0,,,
2022-03-14,41800,37500,64000,26600,
2022-03-15,44200,128500,133000,,
2022-03-16,67600,125000,135500,,
2022-03-17,88800,134000,134000,,
2022-03-18,67800,118500,120000,,
2022-03-19,100880,0,44000,,
2022-03-20,0,0,0,,
2022-03-21,75160,0,23500,21360,
2022-03-22,94600,0,0,66840,
2022-03-23,128000,0,0,57200,
2022-03-24,91000,36500,63000,35600,
2022-03-25,71400,107500,125000,,
2022-03-26,101600,0,39000,20000,
